Iteration: 490, gbestFitness: 995873, vehicles: 95
Iteration: 491, gbestFitness: 995873, vehicles: 95
Iteration: 492, gbestFitness: 995873, vehicles: 95
Iteration: 493, gbestFitness: 995873, vehicles: 95
Iteration: 494, gbestFitness: 995873, vehicles: 95
Iteration: 495, gbestFitness: 995873, vehicles: 95
Iteration: 496, gbestFitness: 995873, vehicles: 95
Iteration: 497, gbestFitness: 995873, vehicles: 95
Iteration: 498, gbestFitness: 995873, vehicles: 95
Iteration: 499, gbestFitness: 995873, vehicles: 95
Iteration: 500, gbestFitness: 995873, vehicles: 95
Iteration: 501, gbestFitness: 995873, vehicles: 95
Iteration: 502, gbestFitness: 995873, vehicles: 95
Iteration: 503, gbestFitness: 995873, vehicles: 95
Iteration: 504, gbestFitness: 995873, vehicles: 95
Iteration: 505, gbestFitness: 995873, vehicles: 95
Iteration: 506, gbestFitness: 995873, vehicles: 95
Iteration: 507, gbestFitness: 995873, vehicles: 95
Iteration: 508, gbestFitness: 995873, vehicles: 95
Iteration: 509, gbestFitness: 995873, vehicles: 95
Iteration: 510, gbestFitness: 995873, vehicles: 95
Iteration: 511, gbestFitness: 995873, vehicles: 95
Iteration: 512, gbestFitness: 995873, vehicles: 95
Iteration: 513, gbestFitness: 995873, vehicles: 95
Iteration: 514, gbestFitness: 995873, vehicles: 95
Iteration: 515, gbestFitness: 995873, vehicles: 95
Iteration: 516, gbestFitness: 995873, vehicles: 95
Iteration: 517, gbestFitness: 995873, vehicles: 95
